ID	A_ID	Author_Initials	Title	City	Printed_in	Year	Author_full_name	Author_birth	Author_death	RP_biography
COL_1	A-1	А. Я-в	Кривой бес. Русская сказка [Стихотворения]	СПб.	Вингебера	1835	NA	NA	NA	NA
COL_2	A-2	Баратынский Е.А.	Сочинения Е. Баратынского	М.	А. Семена	1835	Баратынский Евгений Абрамович	1800	1844	1-158
COL_3	A-3	Венгер Н.	Сочинения Николая Венгера в стихах и прозе	М.	Селивановского	1835	Венгер Николай	NA	NA	NA
COL_4	A-4	Деларю М.Д.	Опыты в стихах Михаила Деларю	СПб.	Деп. внешней торговли	1835	Деларю Михаил Данилович	1811	1868	2-98
COL_5	A-5	Зилов А.М.	Стихотворения Алексея Зилова [Тетрадь 1-я]	М.	Лазаревых	1835	Зилов Алексей Михайлович	1798	1865	2-339
COL_6	A-6	Кожухов Н.	Переводы с французского прозою, и сочинения в стихах Н. Кожухова	М.	Лазаревых	1835	NA	NA	NA	NA
COL_7	A-7	Кольцов А.В.	Стихотворения Алексея Кольцова	М.	Степанова	1835	Кольцов Алексей Васильевич	1809	1842	3-33
COL_8	A-8	Лебедев В.	Осенний вечер, изданный В. Лебедевым	СПб.	Вингебера	1835	NA	NA	NA	NA
COL_9	A-9	Меркли М.М.	Стихотворения Михаила Меркли	М.	Степанова	1835	Меркли Михаил Маркович	1817	1846	4-30
COL_10	A-10	Мятлев И.П.	Собрание стихотворений	СПб.	Гинце	1835	Мятлев Иван Петрович	1797	1844	4-196
COL_11	A-11	Пушкин А.С.	Стихотворения Александра Пушкина. Ч. 4.	СПб.	Рос. Акад.	1835	Пушкин Александр Сергеевич	1799	1837	5
COL_12	A-12	Риль Ю.	Четыре русских песни / С аккомп. ф-п. посвященные Ее Сиятельству Графине Наталье Павловне Строгоновой Ю. Рилем.	СПб.	Пеца	1835	NA	NA	NA	NA
COL_13	A-13	Геевский С.Л.	Сочинения и переводы в стихах С.Г.	Харьков	Ун.	1835	Геевский Степан Лукич	1813	1862	1-536
COL_14	A-14	Савурский Н.	Весенняя ветка. Стихотворения	СПб.	Крыловского	1835	Савурский Николай	NA	NA	NA
COL_15	A-15	Тимофеев А.В.	Песни. В 2 ч.	СПб.	Гинце	1835	Тимофеев Алексей Васильевич	1812	1883	6-
COL_16	A-16	Топчибашев М. Д.	На памятник Императору Александру I. Два стихотворения на Персидском и турецком языках Мирзы Джафара Топчибашева	СПб.	Рос. Акад.	1835	Топчибашев Мирза Джафар	1790	1869	NA
COL_17	NA	NA	Стихотворение на столетие литейного дома с арсенала в Петербурге 1835 года 6 августа	СПб.	Вингебера	1835	NA	NA	NA	NA
COL_18	NA	NA	Шесть лет: Прощальная песнь воспитанников Имп. лицея в Царском селе	СПб.	NA	1835	NA	NA	NA	NA
COL_141	A-17	Цитович Н.Д.	Басни Н. Цитовича	СПб.	Крайя	1835	Цитович Николай Дмитриевич	NA	NA	NA
COL_200	A-18	Бенедиктов В.Г.	Стихотворения Владимира Бенедиктова	СПб.	Вингебера	1835	Бенедиктов Владимир Григорьевич	1807	1873	1-233
COL_212	A-19	Жуковский В.А.	Стихотворения Василья Жуковского: В 8 ч. / Изд. 4-е.	СПб.	Экс. загот. гос. бумаг	1835	Жуковский Василий Андреевич	1783	1852	2-278
COL_19	A-20	Аполлон де ***	Стихотворения Аполлона де ***	М.	Селивановского	1836	NA	NA	NA	NA
COL_20	NA	NA	Стихотворения Владимира Бенедиктова / изд. 2-е	СПб.	Гинце	1836	NA	NA	NA	NA
COL_22	A-5	Зилов А.М.	Стихотворения Алексея Зилова. Тетрадь 2-я	М.	Лазаревых	1836	Зилов Алексей Михайлович	1798	1865	2-339
COL_23	А-22	NA	Стихотворения Дмитрия Кашкина	М.	Степанова	1836	NA	NA	NA	NA
COL_24	А-23	NA	Нравственные результаты XIX века, и стихотворения. Соч. Н. Лаврова	СПб.	Вингебера	1836	NA	NA	NA	NA
COL_25	А-24	NA	Стихотворения Алексея Мейснера	М.	А. Семена	1836	NA	NA	NA	NA
COL_26	A-25	Муравьев Н.Н.	Некоторые из забав отдохновения… Ч. 2.	СПб.	Военн.	1836	Муравьев Николай Назарьевич	1775	1845	4-162
COL_27	A-26	Полежаев А.И.	Кальян. Стихотворения Полежаева / Изд. 2	М.	Ун.	1836	Полежаев Александр Иванович	1804	1838	5-40
COL_28	A-27	Пуговишников А.М.	Песни, романсы и стихотворения А.П. / Изд. 2	М.	Кирилова	1836	Пуговишников Александр Михайлович	конец 1790-х	после 1846	5-174
COL_29	A-28	Суханов М.Д.	Время не праздно. Стихотворения крестьянина М. Суханова	СПб.	Вингебера	1836	Суханов Михаил Дмитриевич	1801	1843	6-
COL_30	А-28	NA	Мои сельские досуги	СПб.	Вингебера	1836	NA	NA	NA	NA
COL_32	A-30	Тепляков В.Г.	Стихотворения Виктора Теплякова. Т. 2.	СПб.	Гутенбергова	1836	Тепляков Виктор Григорьевич	1804	1842	6-
COL_33	A-31	Тростин Х.Д.	Стихотворения Христофора Тростина	М.	Ун.	1836	Тростин Христофор	NA	NA	NA
COL_34	A-32	Цимбалин К.И.	Сказки и басни К. Цымбалина: В 5 кн.	СПб.	Праца	1836	Цимбалин Константин Иванович	1807	NA	NA
COL_35	NA	NA	Маскерад. Подарок прекрасному полу на 1837 год	СПб.	Гинце	1836	NA	NA	NA	NA
COL_36	NA	NA	Мечты при луне. Стихотворения	М.	Кирилова	1836	NA	NA	NA	NA
COL_37	A-29	Федоров Б.М.	Детский павильон. Книжка, содержащая в себе черты из русской истории, разные повести, разговоры, анекдоты, стихотворения, сказочки и проч., составленная на 1836 год Б. Федоровым / Изд. Брат. Матвея и Михаила Заикиных	СПб.	Гинце	1836	Федоров Борис Михайлович	1794	1875	NA
COL_38	A-33	Кульчицкий А.	Надежда. Собрание сочинений в стихах и прозе / Изд. А. Кульчицкий	Харьков	Ун.	1836	Кульчицкий Александр Яковлевич	1814	1845	3-226
COL_39	NA	NA	Мое новоселье. Альманах на 1836 год, изд. В. Крыловским	СПб.	Крылова	1836	NA	NA	NA	NA
COL_41	NA	NA	Сонет на картину К.П. Брюллова	СПб.	Крыловского	1836	NA	NA	NA	NA
COL_142	NA	NA	Куплеты, петые в московском Английском клубе 14 ноября 1836, по случаю праздника, данного членами оного его сиятельству князю Дмитрию Владимировичу Голицыну	М.	А. Семена	1836	NA	NA	NA	NA
COL_143	A-34	Майков М.А.	Басни Михайла Майкова	Ярославль	Губ. правления	1836	Майков Михаил Александрович	1770	1848	3-463
COL_206	NA	NA	Литературные занятия	СПб.	Рос. Акад.	1836	NA	NA	NA	NA
COL_213	NA	NA	Глас приветствия сирот своему попечителю отцу	М.	Лазаревых	1836	NA	NA	NA	NA
COL_219	NA	NA	Хвалебное приношение веры новопрославленному Святителю Митрофану, Епископу Воронежскому. Стихотворение в пяти песнях	М.	Ун.	1836	NA	NA	NA	NA
COL_42	A-36	Бахтурин К.А.	Стихотворения Константина Бахтурина	СПб.	Праца	1837	Бахтурин Константин Александрович	1807	1841	1-185
COL_43	A-37	Бернет Е.	Стихи Е. Бернета	СПб.	Снегирева	1837	Бернет Е.	1810	1864	1-250
COL_44	A-38	Бороздна И.П.	Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны	М.	Селивановского	1837	Бороздна Иван Петрович	1804	1858	1-317
COL_45	A-39	Бутырский Н.И.	И моя доля в сонетах. В 2 ч. Соч. Бутырского	СПб.	Вингебера	1837	Бутырский Никита Иванович	1783	1848	1-378
COL_46	A-40	Быстроглазов А.	Стихотворения А. Быстроглазова. В 2 ч.	СПб.	Вингебера	1837	Быстроглазов А.	NA	NA	NA
COL_47	A-41	Глинка Ф.Н.	Воспоминание о пиитической жизни Пушкина. Посвящена отцу поэта	М.	А. Семена	1837	Глинка Федор Николаевич	1786	1880	1-578
COL_48	A-42	Грен Н.	Вечера минувшей осени. Издание Н. Грена	СПб.	Крылова	1837	Грен Н.	NA	NA	NA
COL_49	A-43	Дьячков С.П.	Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым	СПб.	Вингебера	1837	Дьячков Семен Петрович	1809	1844	2-206
COL_50	A-44	Кашаев В.	Стихотворения Виктора Кашаева	М.	Кирилова	1837	Кашаев Виктор	NA	NA	NA
COL_51	A-45	Мартынов А.	Поэтические произведения А. Мартынова. В 3-х кн.	СПб.	Вингебера	1837	Мартынов Авксентий Матвеевич	1787	1858	3-531
COL_52	A-46	Подолинский А.И.	Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения	СПб.	А. Смирдина	1837	Подолинский Андрей Иванович	1806	1886	5-12
COL_53	A-47	Скосырев К.	Стихотворения Константина Скосырева	М.	Кирилова	1837	Скосырев Константин	NA	NA	NA
COL_54	A-48	Смирнова А.	Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е	СПб.	Вингебера	1837	Смирнова Анна	NA	NA	NA
COL_55	A-49	Соколовский В.И.	Мироздание [Опыт духовного стихотворения]. Изд. 2-е	СПб.	Греча	1837	Соколовский Владимир Игнатьвич	1808	1839	5-717
COL_56	A-15	Тимофеев А.В.	Опыты ч.1-3	СПб.	Глазунова	1837	Тимофеев Алексей Васильевич	1812	1883	6-
COL_57	A-50	Якубович Л.А.	Стихотворения Лукьяна Якубовича	СПб.	Гутенбергова	1837	Якубович Лукьян Андреевич	1805	1839	NA
COL_58	NA	NA	Стихи на открытие типографии	СПб.	Вингебера	1837	NA	NA	NA	NA
COL_59	A-65	Владиславлев В.А.	Альманах на 1838 год составленный из литературных трудов и проч. Владиславлева	СПб.	Военн.	1837	Владиславлев Владимир Андреевич	1806	1856	1-450
COL_146	A-51	Стромилов С.И.	XII сонетов С. Стромилова	М.	А. Семена	1837	Стромилов Семен Иванович	1810	после 1862	6-
COL_147	NA	NA	Звезда любви (L’etoile d’amour). Подарок прелестному полу	М.	Н. Эрнста	1837	NA	NA	NA	NA
COL_148	A-52	Громов И.	Мой кальян: Стихотворения И. Громова	М.	Лазаревых	1837	Громов И.	NA	NA	NA
COL_149	A-53	Пустельгин	Мои пенаты: Стихотворения Пустельгина	СПб.	Крайя	1837	NA	NA	NA	NA
COL_150	A-54	Магденко А.	Стихотворения Андрея Магденки. Издал И. Грен	СПб.	Греча	1837	Магденко Андрей	NA	NA	NA
COL_151	NA	NA	Стихотворения молодого Черкеса	М.	Ун.	1837	NA	NA	NA	NA
COL_152	A-55	Мысовский-Светогорский С.Д.	Элиза: Элегия	М.	Смирнова	1837	Мысовский-Светогорский Сергей Дмитриевич	1812	после 1863	4-190
COL_153	A-56	Петров И.М.	Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы	М.	Ун.	1837	Петров Иван Матеевич	1803	1838	4-579
COL_154	A-57	Веревкин Н.Ф.	Солдатские песни первого пехотного корпуса	Вильна	NA	1837	Веревкин Николай Федорович	1800	после 1837	1-423
COL_207	A-58	Шаршавый П.Я.	Цевница, на 1837 год. Соч. Шаршавого (Альманах)	СПб.	Вингебера	1837	Шаршавый Петр Якимович	1814	1865	NA
COL_209	NA	NA	Старичок-весельчак, рассказывающий давние Московские были	М.	Евреинова	1837	NA	NA	NA	NA
COL_214	A-59	Орлов А.А.	Померцающая луна или покорения Брамлова. Героическая песнь	М.	Кирилова	1837	Орлов Александр Анфимович	1790	1840	4-446
COL_221	NA	NA	Минерва, на 1837 год. Альманах, изд. К. Инвалидовым	М.	Кирилова	1837	NA	NA	NA	NA
COL_60	A-60	Аладьина Е.В.	Сочинения Е.В.А…	СПб.	Вингебера	1838	Аладьина Елизавета Васильевна	1810	после 1867	1-43
COL_61	A-18	Бенедиктов В.Г.	Стихотворения В. Бенедиктова. Кн. 2.	СПб.	Иверина	1838	Бенедиктов Владимир Григорьевич	1807	1873	1-233
COL_62	A-61	Бестужев А.А. (Марлинский)	Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е	СПб.	III Отд. собств. Е.И.В. канц.	1838	Бестужев Александр Александрович	1797	1837	1-253
COL_63	A-62	Бобылев Н.И.	Невский альбом: Опыты в стихах и прозе	СПб.	Военн.	1838	Бобылев Николай Иванович	1819	1865	1-294
COL_64	A-63	Вердеревский А.	Стихотворения Александра Вердеревского	М.	Степанова	1838	Вердеревский Александр	NA	NA	1-421
COL_65	A-64	Веронов	Стихотворения Веронова	СПб.	Сахарова	1838	Баласогло Александр Пантелеймонович	1813	1893	1-145
COL_66	A-65	Владиславлев В.А.	Утренняя заря Альманах Владиславлева на 1839 год	СПб.	Фишера	1838	Владиславлев Владимир Андреевич	1806	1856	1-450
COL_67	A-66	Демидов М.А.	Разные разности. Стихотворения М. Демидова	М.	А. Семена	1838	Демидов Михаил Александрович	1817	1841	2-105
COL_68	A-67	Доброхотов Ф.	Взгляд на поэзию Феофила Доброхотова	М.	А. Семена	1838	Доброхотов Феофил	NA	NA	NA
COL_69	A-68	Долгоруков А.В.	Поэзия Алексея Москвитянина	М.	А. Семена	1838	Долгоруков Алексей Владимирович	1813	после 1869	2-147
COL_70	A-69	Карелин И.М.	Весенние мечты: Стихотворения Ильи Карелина	М.	Селивановского	1838	Карелин Илья Марьянович	1823	NA	2-483
COL_72	A-71	Краснов С.	Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]	М.	Кирилова	1838	Краснов Стахий	NA	NA	NA
COL_73	A-72	Леонов А.А.	Стихотворения Алексея Леонова. 1834-1838	Харьков	Губ.	1839	Леонов Алексей Алексеевич	1815	1882	3-321
COL_74	A-73	Максимов М.И.	Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова	СПб.	Глазунова	1838	Максимов Михаил Иванович	1810	после 1856	3-483
COL_75	A-74	Марков М.А.	Мечты и были: В 3 ч	СПб.	Праца	1838	Марков Михаил Александрович	1810	1876	3-528
COL_76	A-75	Анисимова Д.А.	Стихи бедной девицы, слепой дочери деревенского пономаря, сообщенные в Императорскую Российскую Академию, и от ней изданные	СПб.	Рос. Акад.	1838	Анисимова (Онисимова) Домна Анисимовна	1812	1868	1-77
COL_78	A-26	Полежаев А.И.	Арфа: Стихотворения Александра Полежаева	М.	Кирилова	1838	Полежаев Александр Иванович	1804	1838	5-40
COL_79	A-77	Сушков Д.П.	Стихотворения Д. Сушкова	СПб.	Штаба отд. корп. внутр. стражи	1838	Сушков Дмитрий Петрович	1817	1894	6-156
COL_80	A-78	Теплова Н.С.	Стихотворения Н. Тепловой. Изд. 2, умноженное	М.	Лазаревых	1838	Терюхина (Теплова) Надежда Сергеевна	1814	1848	6-191
COL_82	A-79	Молчанова В.	Стихотворения, сочиненные девицей B.М.	СПб.	Глазунова	1838	NA	NA	NA	NA
COL_83	A-132	М.Д.	И то и се или собрание сочинений в стихах и прозе М.Д.	М.	Смирнова	1838	NA	NA	NA	NA
COL_155	NA	NA	Поздравительные стихи за 1838 год гг. Старшинам, Членам и Гостям Немецкого клуба	М.	Степанова	1838	NA	NA	NA	NA
